,over_draft,credit_usage,credit_history,purpose,Average_Credit_Balance,employment,location,personal_status,other_parties,residence_since,property_magnitude,cc_age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
323,'<0',18.0,'existing paid',furniture/equipment,'>=1000','1<=X<4',4.0,'male single',none,2.0,car,28.0,none,own,1.0,skilled,1.0,none,yes,0
324,'no checking',18.0,'critical/other existing credit','new car','<100','1<=X<4',4.0,'female div/dep/mar',none,3.0,'real estate',36.0,none,own,2.0,skilled,1.0,none,yes,0
325,'<0',8.0,'critical/other existing credit','new car','<100','4<=X<7',1.0,'male single',none,4.0,'real estate',39.0,none,own,2.0,'unskilled resident',1.0,none,no,0
326,'no checking',12.0,'critical/other existing credit',furniture/equipment,'no known savings','>=7',2.0,'male single',none,4.0,'life insurance',49.0,none,rent,1.0,skilled,1.0,yes,yes,0
327,'no checking',24.0,'existing paid','new car','>=1000','4<=X<7',4.0,'female div/dep/mar',none,3.0,car,34.0,none,own,1.0,skilled,2.0,yes,yes,0
328,'>=200',36.0,'existing paid',radio/tv,'<100','>=7',4.0,'male single',none,2.0,car,31.0,none,own,1.0,skilled,1.0,none,yes,0
329,'0<=X<200',6.0,'existing paid',radio/tv,'<100','>=7',4.0,'male single',none,4.0,car,28.0,none,own,1.0,skilled,2.0,none,yes,0
330,'<0',24.0,'critical/other existing credit','used car','<100',unemployed,2.0,'male single',none,4.0,'no known property',75.0,none,'for free',2.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
331,'no checking',18.0,'critical/other existing credit',education,'100<=X<500','1<=X<4',4.0,'female div/dep/mar',none,2.0,'real estate',30.0,none,own,2.0,skilled,1.0,none,yes,1
332,'0<=X<200',60.0,'existing paid','new car','100<=X<500','<1',4.0,'female div/dep/mar',none,2.0,'life insurance',24.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,none,yes,1
333,'no checking',48.0,'critical/other existing credit','used car','100<=X<500','1<=X<4',2.0,'female div/dep/mar',none,4.0,car,24.0,bank,rent,2.0,'unskilled resident',1.0,none,yes,1
334,'<0',24.0,'no credits/all paid',furniture/equipment,'<100','>=7',3.0,'male single',none,4.0,'no known property',23.0,bank,rent,2.0,skilled,2.0,none,yes,1
335,'<0',6.0,'critical/other existing credit',furniture/equipment,'<100','1<=X<4',1.0,'male div/sep',none,4.0,'real estate',44.0,none,rent,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
336,'0<=X<200',13.0,'existing paid',radio/tv,'<100','<1',2.0,'female div/dep/mar',guarantor,4.0,'life insurance',23.0,none,own,1.0,'unskilled resident',1.0,none,yes,0
337,'<0',15.0,'existing paid','domestic appliance','no known savings','1<=X<4',4.0,'female div/dep/mar',none,2.0,car,24.0,none,rent,1.0,skilled,1.0,none,yes,1
338,'<0',24.0,'existing paid',furniture/equipment,'<100','1<=X<4',4.0,'male single',none,4.0,'life insurance',28.0,none,own,1.0,skilled,1.0,none,yes,0
339,'0<=X<200',10.0,'existing paid',furniture/equipment,'<100','1<=X<4',4.0,'male div/sep',none,2.0,car,31.0,none,own,1.0,'unskilled resident',1.0,none,yes,0
340,'0<=X<200',24.0,'critical/other existing credit',education,'<100','<1',2.0,'female div/dep/mar',none,4.0,'no known property',24.0,none,'for free',2.0,skilled,1.0,yes,yes,0
341,'<0',21.0,'existing paid',furniture/equipment,'<100','4<=X<7',1.0,'female div/dep/mar',none,4.0,car,26.0,none,rent,1.0,'unskilled resident',1.0,none,yes,0
342,'0<=X<200',18.0,'existing paid',radio/tv,'500<=X<1000','<1',1.0,'male mar/wid',none,3.0,'real estate',25.0,none,rent,1.0,skilled,1.0,none,yes,0
343,'0<=X<200',18.0,'existing paid',business,'<100','>=7',1.0,'male single','co applicant',1.0,'real estate',33.0,bank,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
344,'>=200',10.0,'existing paid','new car','<100','<1',1.0,'male single',guarantor,1.0,'life insurance',37.0,none,own,1.0,'unskilled resident',2.0,none,yes,0
345,'no checking',15.0,'critical/other existing credit',radio/tv,'<100','1<=X<4',4.0,'female div/dep/mar',none,2.0,car,43.0,none,own,1.0,'unskilled resident',1.0,none,yes,0
346,'0<=X<200',13.0,'critical/other existing credit',radio/tv,'<100','<1',4.0,'male single',guarantor,4.0,'real estate',23.0,none,own,2.0,skilled,1.0,none,yes,0
347,'0<=X<200',24.0,'existing paid',radio/tv,'500<=X<1000',unemployed,1.0,'female div/dep/mar',none,4.0,'no known property',23.0,none,rent,1.0,'unemp/unskilled non res',1.0,none,yes,0
348,'no checking',6.0,'delayed previously',business,'100<=X<500','1<=X<4',1.0,'male single',none,2.0,'real estate',34.0,none,own,2.0,'unskilled resident',1.0,none,yes,0
349,'0<=X<200',9.0,'critical/other existing credit',education,'>=1000','>=7',4.0,'male single',none,3.0,'no known property',32.0,none,'for free',2.0,skilled,2.0,none,yes,1
350,'no checking',9.0,'existing paid','domestic appliance','<100','<1',1.0,'female div/dep/mar',none,4.0,'real estate',23.0,none,rent,1.0,skilled,1.0,yes,yes,0
351,'0<=X<200',9.0,'existing paid',furniture/equipment,'<100','1<=X<4',1.0,'female div/dep/mar',none,2.0,car,29.0,none,own,1.0,skilled,1.0,none,no,1
352,'no checking',18.0,'critical/other existing credit','used car','no known savings',unemployed,2.0,'male single',none,4.0,'no known property',38.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
353,'<0',12.0,'no credits/all paid',radio/tv,'<100','1<=X<4',4.0,'male single',none,2.0,'life insurance',28.0,none,rent,2.0,skilled,1.0,yes,yes,1
354,'no checking',10.0,'existing paid',education,'500<=X<1000','>=7',4.0,'male single',none,4.0,'no known property',46.0,none,'for free',1.0,skilled,1.0,yes,yes,0
355,'0<=X<200',24.0,'existing paid','new car','<100','<1',4.0,'male single',none,2.0,'real estate',23.0,stores,own,1.0,'unskilled resident',1.0,none,yes,1
356,'no checking',12.0,'critical/other existing credit',radio/tv,'no known savings','>=7',1.0,'male single','co applicant',4.0,'real estate',49.0,none,own,1.0,skilled,1.0,yes,yes,0
357,'no checking',36.0,'delayed previously',radio/tv,'<100','1<=X<4',4.0,'male single',none,2.0,car,26.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
358,'no checking',12.0,'existing paid',radio/tv,'<100','1<=X<4',4.0,'male mar/wid',none,2.0,'real estate',28.0,none,own,1.0,skilled,1.0,none,yes,0
359,'<0',30.0,'existing paid',furniture/equipment,'<100','4<=X<7',4.0,'female div/dep/mar',none,4.0,'real estate',23.0,none,rent,1.0,skilled,1.0,none,yes,1
360,'0<=X<200',18.0,'existing paid',education,'no known savings','1<=X<4',4.0,'male single',none,4.0,'no known property',61.0,none,'for free',1.0,skilled,1.0,none,yes,0
361,'>=200',12.0,'existing paid',radio/tv,'no known savings','>=7',2.0,'male single',none,3.0,car,37.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,none,yes,0
362,'>=200',12.0,'delayed previously','new car','<100','1<=X<4',2.0,'female div/dep/mar',none,2.0,car,36.0,stores,own,2.0,skilled,1.0,yes,yes,0
363,'no checking',6.0,'existing paid',furniture/equipment,'<100','1<=X<4',1.0,'male mar/wid',none,2.0,'life insurance',21.0,none,rent,1.0,skilled,1.0,none,yes,0
364,'<0',18.0,'existing paid',furniture/equipment,'<100',unemployed,4.0,'male single',none,1.0,car,25.0,none,own,1.0,'unemp/unskilled non res',1.0,none,yes,1
365,'no checking',12.0,'existing paid',business,'<100','4<=X<7',2.0,'male single',none,4.0,car,36.0,none,own,1.0,skilled,1.0,yes,yes,0
366,'no checking',18.0,'critical/other existing credit','used car','<100','4<=X<7',3.0,'male single',none,1.0,car,27.0,none,own,2.0,skilled,1.0,none,yes,0
367,'<0',18.0,'existing paid',furniture/equipment,'<100','<1',1.0,'female div/dep/mar',none,4.0,car,22.0,none,rent,1.0,skilled,1.0,none,yes,0
368,'<0',36.0,'existing paid',furniture/equipment,'<100','>=7',4.0,'male single',none,2.0,car,42.0,none,own,1.0,skilled,2.0,none,yes,1
369,'0<=X<200',18.0,'existing paid',furniture/equipment,'<100','4<=X<7',2.0,'female div/dep/mar',none,4.0,'real estate',40.0,none,rent,1.0,skilled,1.0,none,yes,0
370,'no checking',36.0,'existing paid','new car','no known savings','1<=X<4',4.0,'male single',none,4.0,'real estate',36.0,none,own,1.0,skilled,1.0,none,yes,0
371,'no checking',18.0,'critical/other existing credit',radio/tv,'<100','>=7',3.0,'male single',none,4.0,car,33.0,none,own,2.0,skilled,1.0,yes,yes,0
372,'no checking',10.0,'critical/other existing credit',furniture/equipment,'<100','<1',1.0,'female div/dep/mar',none,3.0,'real estate',23.0,none,rent,2.0,skilled,1.0,none,yes,0
373,'no checking',60.0,'critical/other existing credit','new car','no known savings','>=7',2.0,'male single',none,4.0,'no known property',63.0,bank,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
374,'0<=X<200',60.0,'all paid',other,'100<=X<500','>=7',3.0,'female div/dep/mar',none,4.0,'no known property',60.0,bank,'for free',2.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
375,'<0',48.0,'all paid',business,'<100','4<=X<7',2.0,'female div/dep/mar',guarantor,4.0,car,37.0,none,rent,1.0,skilled,1.0,none,yes,1
376,'no checking',18.0,'delayed previously',radio/tv,'<100',unemployed,2.0,'male mar/wid',none,3.0,'real estate',34.0,none,own,2.0,skilled,1.0,none,yes,0
377,'no checking',7.0,'delayed previously',radio/tv,'no known savings','>=7',3.0,'male single',none,4.0,'no known property',36.0,none,'for free',1.0,skilled,1.0,none,yes,0
378,'0<=X<200',36.0,'existing paid','new car','<100','>=7',4.0,'male single',none,2.0,'no known property',57.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
379,'no checking',6.0,'critical/other existing credit','new car','100<=X<500','1<=X<4',4.0,'female div/dep/mar',none,4.0,car,52.0,none,own,2.0,'unskilled resident',1.0,none,yes,0
380,'<0',20.0,'existing paid',furniture/equipment,'no known savings','4<=X<7',4.0,'male single',none,4.0,car,39.0,none,own,1.0,skilled,1.0,yes,yes,0
381,'0<=X<200',18.0,'existing paid','used car','<100',unemployed,3.0,'female div/dep/mar',none,4.0,'no known property',38.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
382,'no checking',22.0,'existing paid','new car','no known savings','4<=X<7',4.0,'female div/dep/mar',none,4.0,'life insurance',25.0,none,rent,1.0,skilled,1.0,none,yes,0
383,'>=200',12.0,'existing paid','new car','<100','<1',4.0,'male single',none,1.0,'real estate',26.0,none,own,1.0,skilled,1.0,none,yes,0
384,'no checking',30.0,'delayed previously',business,'100<=X<500','1<=X<4',2.0,'male single',none,2.0,'life insurance',26.0,none,own,2.0,'unskilled resident',1.0,none,yes,0
385,'no checking',18.0,'critical/other existing credit',radio/tv,'<100','1<=X<4',2.0,'female div/dep/mar',none,1.0,car,25.0,none,own,2.0,skilled,1.0,none,yes,0
386,'no checking',18.0,'existing paid',radio/tv,'no known savings','<1',4.0,'female div/dep/mar',none,2.0,'real estate',21.0,none,rent,1.0,skilled,1.0,yes,yes,0
387,'0<=X<200',18.0,'critical/other existing credit',furniture/equipment,'<100',unemployed,4.0,'male single',none,4.0,'life insurance',40.0,stores,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
388,'0<=X<200',15.0,'critical/other existing credit',business,'500<=X<1000','1<=X<4',2.0,'male single',none,4.0,car,27.0,bank,own,1.0,skilled,1.0,none,yes,0
389,'no checking',9.0,'existing paid',business,'<100','4<=X<7',3.0,'female div/dep/mar',none,2.0,car,27.0,none,own,2.0,skilled,1.0,none,yes,0
390,'no checking',18.0,'existing paid','new car','<100','1<=X<4',2.0,'male mar/wid',none,2.0,'life insurance',30.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
391,'0<=X<200',12.0,'existing paid',furniture/equipment,'>=1000','<1',1.0,'female div/dep/mar',none,4.0,'real estate',19.0,none,rent,1.0,'unskilled resident',1.0,none,yes,0
392,'<0',36.0,'existing paid','new car','<100','4<=X<7',2.0,'male single',none,4.0,'no known property',39.0,bank,'for free',1.0,'high qualif/self emp/mgmt',2.0,yes,yes,0
393,'<0',6.0,'critical/other existing credit',radio/tv,'<100','4<=X<7',1.0,'female div/dep/mar',none,4.0,car,31.0,none,own,1.0,skilled,1.0,none,yes,0
394,'no checking',9.0,'critical/other existing credit',furniture/equipment,'<100',unemployed,2.0,'male single',none,3.0,car,31.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,none,yes,0
395,'0<=X<200',39.0,'delayed previously',education,'100<=X<500','4<=X<7',2.0,'male single',none,3.0,'no known property',32.0,none,rent,1.0,skilled,1.0,yes,yes,0
396,'<0',12.0,'existing paid',furniture/equipment,'<100',unemployed,3.0,'female div/dep/mar',none,4.0,'no known property',55.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,none,yes,0
397,'<0',36.0,'critical/other existing credit',furniture/equipment,'<100','1<=X<4',3.0,'male mar/wid',none,2.0,'life insurance',46.0,none,own,2.0,skilled,1.0,yes,yes,0
398,'0<=X<200',12.0,'existing paid','new car','<100','>=7',1.0,'male div/sep',none,1.0,'real estate',46.0,none,rent,2.0,skilled,1.0,none,yes,1
399,'no checking',24.0,'critical/other existing credit',radio/tv,'>=1000','1<=X<4',4.0,'female div/dep/mar',none,1.0,'real estate',43.0,none,own,2.0,'unskilled resident',1.0,none,yes,0
400,'no checking',18.0,'existing paid',radio/tv,'<100','<1',3.0,'male mar/wid',none,4.0,'real estate',39.0,none,own,1.0,skilled,1.0,yes,yes,0
401,'0<=X<200',18.0,'critical/other existing credit',business,'no known savings','1<=X<4',4.0,'male mar/wid',none,4.0,'real estate',28.0,bank,own,2.0,skilled,1.0,none,yes,0
402,'no checking',24.0,'delayed previously',business,'<100','<1',2.0,'male single',none,2.0,car,27.0,bank,own,2.0,skilled,1.0,yes,yes,1
403,'no checking',14.0,'delayed previously','new car','<100','1<=X<4',4.0,'male single',none,2.0,car,27.0,none,own,2.0,'unskilled resident',1.0,none,yes,0
404,'0<=X<200',18.0,'delayed previously','new car','no known savings','>=7',4.0,'male single',none,4.0,car,43.0,none,own,1.0,skilled,2.0,none,yes,0
405,'0<=X<200',24.0,'existing paid',radio/tv,'<100','<1',1.0,'male mar/wid',none,1.0,'life insurance',22.0,none,own,1.0,skilled,1.0,yes,yes,1
406,'no checking',24.0,'critical/other existing credit','used car','no known savings','4<=X<7',4.0,'male single',none,4.0,car,43.0,none,own,2.0,skilled,2.0,yes,yes,0
407,'<0',15.0,'existing paid',radio/tv,'<100','<1',4.0,'male mar/wid',none,2.0,'real estate',27.0,none,own,1.0,skilled,1.0,none,no,0
408,'no checking',24.0,'existing paid',radio/tv,'500<=X<1000','>=7',3.0,'male div/sep',none,2.0,car,26.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
409,'>=200',12.0,'critical/other existing credit','new car','500<=X<1000','4<=X<7',4.0,'male mar/wid',none,2.0,'real estate',28.0,none,own,3.0,skilled,1.0,yes,yes,1
410,'0<=X<200',24.0,'existing paid',radio/tv,'<100','>=7',4.0,'female div/dep/mar',none,4.0,car,20.0,none,own,1.0,skilled,1.0,yes,yes,0
411,'no checking',33.0,'critical/other existing credit','used car','<100','4<=X<7',3.0,'male single',none,2.0,car,35.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
412,'no checking',12.0,'critical/other existing credit',business,'<100',unemployed,4.0,'male single',none,2.0,car,42.0,stores,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
413,'no checking',10.0,'existing paid','new car','500<=X<1000','1<=X<4',3.0,'male single',none,2.0,'no known property',40.0,none,rent,1.0,'unskilled resident',2.0,none,no,0
414,'<0',24.0,'existing paid','new car','no known savings','1<=X<4',4.0,'female div/dep/mar',none,2.0,'life insurance',35.0,none,own,1.0,skilled,1.0,none,yes,1
415,'no checking',36.0,'critical/other existing credit','used car','<100','>=7',2.0,'male single',none,2.0,'life insurance',35.0,none,own,2.0,skilled,2.0,yes,yes,0
416,'<0',12.0,'existing paid','new car','<100','<1',4.0,'male single',none,1.0,'real estate',33.0,none,own,1.0,'unskilled resident',2.0,none,yes,1
417,'<0',18.0,'delayed previously',education,'no known savings','1<=X<4',1.0,'female div/dep/mar',none,2.0,car,23.0,none,rent,2.0,skilled,1.0,yes,yes,0
418,'no checking',21.0,'existing paid','new car','500<=X<1000','4<=X<7',1.0,'female div/dep/mar',none,2.0,car,31.0,bank,own,1.0,'high qualif/self emp/mgmt',1.0,none,yes,0
419,'0<=X<200',18.0,'existing paid','new car','no known savings','1<=X<4',4.0,'female div/dep/mar',none,2.0,'life insurance',33.0,none,own,1.0,skilled,1.0,none,yes,1
420,'no checking',15.0,'existing paid','new car','>=1000','4<=X<7',2.0,'female div/dep/mar',none,3.0,car,20.0,none,rent,1.0,skilled,1.0,none,yes,0
421,'0<=X<200',12.0,'existing paid','used car','no known savings','1<=X<4',4.0,'male single',none,2.0,car,30.0,none,own,1.0,skilled,1.0,none,yes,0
422,'0<=X<200',12.0,'critical/other existing credit','new car','<100','4<=X<7',2.0,'male single',none,3.0,'real estate',47.0,none,own,2.0,'unskilled resident',2.0,none,yes,0
423,'no checking',21.0,'delayed previously',furniture/equipment,'100<=X<500','4<=X<7',4.0,'male single',none,3.0,'real estate',34.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,none,yes,0
424,'0<=X<200',12.0,'existing paid',furniture/equipment,'no known savings','>=7',1.0,'female div/dep/mar',none,2.0,'life insurance',25.0,bank,own,1.0,skilled,1.0,yes,yes,1
425,'0<=X<200',18.0,'existing paid','used car','<100','1<=X<4',1.0,'male mar/wid',none,3.0,car,21.0,none,rent,1.0,skilled,1.0,yes,yes,0
426,'no checking',28.0,'critical/other existing credit',radio/tv,'<100','>=7',4.0,'male single',none,2.0,car,29.0,none,own,2.0,skilled,1.0,none,yes,0
427,'no checking',18.0,'critical/other existing credit',radio/tv,'>=1000','1<=X<4',4.0,'male single',none,3.0,'real estate',46.0,none,own,2.0,skilled,1.0,none,yes,0
428,'no checking',9.0,'existing paid',furniture/equipment,'<100','>=7',1.0,'male single',none,4.0,car,20.0,none,own,1.0,skilled,1.0,none,yes,0
429,'<0',18.0,'critical/other existing credit',repairs,'<100',unemployed,2.0,'female div/dep/mar',none,4.0,'no known property',55.0,none,'for free',3.0,'unemp/unskilled non res',2.0,none,yes,1
430,'no checking',5.0,'existing paid',business,'<100','4<=X<7',1.0,'male single',none,4.0,'real estate',74.0,none,own,1.0,'unskilled resident',1.0,none,yes,0
431,'0<=X<200',24.0,'existing paid',other,'<100','1<=X<4',2.0,'male single','co applicant',3.0,car,29.0,bank,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
432,'<0',6.0,'critical/other existing credit',furniture/equipment,'<100',unemployed,4.0,'male single',none,4.0,'no known property',36.0,none,'for free',3.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
433,'no checking',24.0,'critical/other existing credit',repairs,'<100','1<=X<4',4.0,'male div/sep',none,2.0,'real estate',33.0,none,own,2.0,skilled,1.0,yes,yes,0
434,'<0',9.0,'existing paid',furniture/equipment,'<100','1<=X<4',3.0,'male single',none,2.0,'real estate',25.0,none,own,1.0,skilled,1.0,none,yes,0
435,'0<=X<200',12.0,'existing paid',radio/tv,'no known savings','1<=X<4',2.0,'male mar/wid',none,1.0,'real estate',25.0,none,own,1.0,skilled,1.0,yes,yes,1
436,'no checking',6.0,'existing paid',repairs,'500<=X<1000','4<=X<7',2.0,'male mar/wid',none,4.0,'real estate',23.0,none,rent,1.0,'unskilled resident',1.0,none,yes,0
437,'no checking',24.0,'critical/other existing credit','new car','>=1000','>=7',4.0,'female div/dep/mar',none,4.0,'real estate',37.0,none,own,2.0,skilled,1.0,yes,yes,0
438,'<0',42.0,'critical/other existing credit',repairs,'<100',unemployed,4.0,'male single','co applicant',4.0,car,65.0,none,own,2.0,'unemp/unskilled non res',1.0,none,yes,0
439,'>=200',12.0,'all paid',business,'<100','<1',4.0,'female div/dep/mar',none,1.0,'real estate',26.0,none,own,1.0,'unemp/unskilled non res',1.0,none,yes,1
440,'no checking',12.0,'existing paid','new car','<100','>=7',4.0,'male single',none,4.0,car,39.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
441,'<0',12.0,'existing paid',furniture/equipment,'<100','1<=X<4',2.0,'female div/dep/mar','co applicant',3.0,'life insurance',30.0,none,own,1.0,skilled,1.0,none,yes,0
442,'0<=X<200',20.0,'delayed previously',other,'<100','1<=X<4',2.0,'male single',none,3.0,car,29.0,bank,own,2.0,skilled,1.0,yes,yes,0
443,'no checking',12.0,'existing paid',education,'<100','>=7',4.0,'male single',none,4.0,car,41.0,bank,own,1.0,'unskilled resident',2.0,none,yes,1
444,'0<=X<200',48.0,'critical/other existing credit',furniture/equipment,'<100','1<=X<4',2.0,'female div/dep/mar',none,3.0,car,30.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,1
445,'no checking',9.0,'critical/other existing credit',education,'no known savings','>=7',4.0,'female div/dep/mar',none,4.0,'life insurance',41.0,none,rent,2.0,'unskilled resident',1.0,none,yes,0
446,'<0',36.0,'existing paid','new car','<100','<1',4.0,'female div/dep/mar',none,4.0,car,34.0,none,own,1.0,skilled,1.0,yes,yes,1
447,'0<=X<200',7.0,'existing paid',radio/tv,'<100','1<=X<4',2.0,'male single',guarantor,2.0,'real estate',35.0,none,own,1.0,skilled,1.0,none,yes,0
448,'>=200',12.0,'existing paid',furniture/equipment,'no known savings','>=7',3.0,'female div/dep/mar',none,4.0,'real estate',55.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
449,'0<=X<200',15.0,'delayed previously',repairs,'>=1000','1<=X<4',3.0,'male mar/wid',none,3.0,'life insurance',61.0,stores,own,2.0,skilled,1.0,none,yes,1
450,'no checking',36.0,'critical/other existing credit','used car','no known savings','1<=X<4',4.0,'male single',none,2.0,car,30.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
451,'no checking',6.0,'existing paid',radio/tv,'<100','1<=X<4',3.0,'female div/dep/mar',none,1.0,'real estate',29.0,none,own,1.0,skilled,1.0,none,yes,0
452,'no checking',12.0,'no credits/all paid',furniture/equipment,'<100','>=7',2.0,'male single',none,4.0,'life insurance',34.0,none,own,2.0,skilled,1.0,none,yes,0
453,'no checking',24.0,'existing paid','used car','<100','>=7',4.0,'male single',none,4.0,car,35.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
454,'<0',24.0,'existing paid','new car','<100','4<=X<7',2.0,'male single','co applicant',3.0,'life insurance',31.0,none,own,1.0,skilled,1.0,yes,yes,1
455,'no checking',24.0,'existing paid','used car','<100','<1',4.0,'female div/dep/mar',none,1.0,'no known property',29.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,0
456,'<0',11.0,'critical/other existing credit','new car','<100','1<=X<4',2.0,'male single',none,2.0,'real estate',36.0,none,rent,2.0,skilled,2.0,none,yes,0
457,'<0',12.0,'existing paid','used car','<100','>=7',3.0,'male single',none,4.0,'no known property',35.0,none,'for free',1.0,skilled,1.0,yes,yes,1
458,'<0',6.0,'existing paid','domestic appliance','<100','<1',4.0,'female div/dep/mar',none,1.0,'real estate',27.0,none,own,1.0,skilled,1.0,none,yes,0
459,'no checking',18.0,'existing paid',radio/tv,'<100','<1',3.0,'male single',none,2.0,car,32.0,none,own,1.0,skilled,1.0,yes,yes,0
460,'<0',36.0,'existing paid',furniture/equipment,'<100','1<=X<4',1.0,'male single',guarantor,2.0,'life insurance',37.0,none,own,1.0,skilled,2.0,none,yes,0
461,'<0',15.0,'existing paid','new car','<100','<1',2.0,'male single',none,3.0,'real estate',36.0,none,own,1.0,skilled,1.0,none,yes,0
462,'0<=X<200',12.0,'existing paid',furniture/equipment,'<100','<1',3.0,'female div/dep/mar',none,1.0,'real estate',34.0,none,rent,1.0,'high qualif/self emp/mgmt',1.0,none,yes,0
463,'0<=X<200',12.0,'existing paid',retraining,'no known savings','>=7',4.0,'male single',none,4.0,'life insurance',38.0,none,own,2.0,skilled,1.0,none,yes,0
464,'no checking',18.0,'existing paid',business,'<100','4<=X<7',4.0,'male single',none,1.0,car,34.0,stores,own,2.0,skilled,1.0,yes,yes,0
465,'<0',24.0,'existing paid','used car','<100','1<=X<4',3.0,'male single',guarantor,4.0,'no known property',63.0,bank,own,1.0,skilled,2.0,yes,yes,0
466,'<0',24.0,'delayed previously',radio/tv,'<100','<1',4.0,'female div/dep/mar',none,2.0,car,29.0,none,rent,1.0,'unskilled resident',1.0,yes,yes,1
467,'no checking',48.0,'delayed previously',radio/tv,'no known savings','>=7',3.0,'male single',none,3.0,car,32.0,bank,own,2.0,skilled,2.0,none,yes,0
468,'no checking',33.0,'delayed previously',business,'<100','1<=X<4',2.0,'female div/dep/mar',none,2.0,car,26.0,none,own,2.0,skilled,1.0,yes,yes,0
469,'no checking',24.0,'delayed previously','used car','<100','4<=X<7',3.0,'male single',none,3.0,car,35.0,none,own,2.0,'unskilled resident',1.0,yes,yes,0
470,'0<=X<200',24.0,'existing paid',radio/tv,'100<=X<500','<1',3.0,'male mar/wid',none,2.0,car,22.0,none,rent,1.0,skilled,1.0,yes,yes,1
471,'<0',6.0,'existing paid',education,'<100','<1',4.0,'female div/dep/mar',none,4.0,'life insurance',23.0,none,own,1.0,skilled,1.0,none,yes,1
472,'<0',9.0,'existing paid','new car','<100','1<=X<4',4.0,'male single',none,3.0,car,28.0,none,own,1.0,'unskilled resident',1.0,none,yes,1
473,'no checking',6.0,'existing paid',retraining,'no known savings',unemployed,4.0,'male single',none,4.0,'life insurance',36.0,none,own,1.0,'high qualif/self emp/mgmt',2.0,yes,yes,0
474,'0<=X<200',18.0,'critical/other existing credit',radio/tv,'<100','1<=X<4',4.0,'male mar/wid',none,2.0,car,33.0,none,own,1.0,skilled,1.0,none,yes,1
475,'<0',18.0,'no credits/all paid',furniture/equipment,'<100','<1',1.0,'female div/dep/mar',none,4.0,'life insurance',26.0,none,rent,1.0,skilled,1.0,none,yes,1
476,'no checking',39.0,'existing paid','used car','500<=X<1000','1<=X<4',4.0,'male single',none,4.0,car,24.0,none,own,1.0,skilled,1.0,none,yes,0
477,'>=200',24.0,'existing paid',radio/tv,'<100','4<=X<7',4.0,'male single',none,2.0,car,25.0,bank,own,1.0,skilled,1.0,none,yes,0
478,'0<=X<200',12.0,'existing paid',business,'100<=X<500','4<=X<7',3.0,'male single',none,4.0,'real estate',39.0,none,own,1.0,'unskilled resident',1.0,none,yes,0
479,'<0',15.0,'critical/other existing credit',furniture/equipment,'<100','>=7',4.0,'male single',none,4.0,car,44.0,none,own,2.0,skilled,2.0,yes,yes,0
480,'0<=X<200',12.0,'critical/other existing credit',radio/tv,'<100','1<=X<4',1.0,'female div/dep/mar',none,1.0,'real estate',23.0,none,own,1.0,'unskilled resident',1.0,none,yes,0
481,'0<=X<200',24.0,'existing paid','new car','<100','<1',4.0,'male single',none,1.0,'life insurance',26.0,none,own,1.0,skilled,1.0,none,yes,0
482,'<0',30.0,'existing paid',furniture/equipment,'>=1000','>=7',4.0,'female div/dep/mar',none,4.0,'life insurance',57.0,none,rent,2.0,skilled,1.0,yes,yes,0
483,'no checking',15.0,'delayed previously',furniture/equipment,'>=1000','4<=X<7',3.0,'female div/dep/mar',none,2.0,'life insurance',30.0,none,own,2.0,skilled,1.0,none,yes,0
484,'no checking',12.0,'critical/other existing credit','new car','500<=X<1000','1<=X<4',4.0,'male single',none,4.0,'real estate',44.0,none,own,1.0,skilled,1.0,yes,yes,0
